"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00417588","RICHARDSON, TX US","2020-05-16","1.60","67","63"
"USC00417588","RICHARDSON, TX US","2020-05-17","0.10","83","63"
"USC00417588","RICHARDSON, TX US","2020-05-18","0.00","89","61"
"USC00417588","RICHARDSON, TX US","2020-05-19","0.50","90","64"
"USC00417588","RICHARDSON, TX US","2020-05-20","0.00","76","68"
"USC00417588","RICHARDSON, TX US","2020-05-21","0.00","85","68"
"USC00417588","RICHARDSON, TX US","2020-05-22","0.00","87","72"
"USC00417588","RICHARDSON, TX US","2020-05-23","1.12","88","64"
"USC00417588","RICHARDSON, TX US","2020-05-24","0.50","86","66"
"USC00417588","RICHARDSON, TX US","2020-05-25","0.99","68","64"
"USC00417588","RICHARDSON, TX US","2020-05-26","0.02","72","61"
"USC00417588","RICHARDSON, TX US","2020-05-27","0.00","86","62"
"USC00417588","RICHARDSON, TX US","2020-05-28","0.00","84","68"
"USC00417588","RICHARDSON, TX US","2020-05-29","0.00","86","64"
"USC00417588","RICHARDSON, TX US","2020-05-30","0.00","86","63"
"USC00417588","RICHARDSON, TX US","2020-05-31","0.00","86","63"
"USC00417588","RICHARDSON, TX US","2020-06-01","0.00","86","68"
"USC00417588","RICHARDSON, TX US","2020-06-02","0.00","89","70"
"USC00417588","RICHARDSON, TX US","2020-06-03","0.00","91","73"
"USC00417588","RICHARDSON, TX US","2020-06-04","0.00","95","74"
"USC00417588","RICHARDSON, TX US","2020-06-05","0.00","94","76"
"USC00417588","RICHARDSON, TX US","2020-06-06","0.00","86","75"
"USC00417588","RICHARDSON, TX US","2020-06-07","0.00","92","74"
"USC00417588","RICHARDSON, TX US","2020-06-08","0.00","95","74"
"USC00417588","RICHARDSON, TX US","2020-06-09","0.00","97","75"
"USC00417588","RICHARDSON, TX US","2020-06-10","0.00","87","64"
"USC00417588","RICHARDSON, TX US","2020-06-11","0.00","90","60"
"USC00417588","RICHARDSON, TX US","2020-06-12","0.00","90","64"
"USC00417588","RICHARDSON, TX US","2020-06-13","0.00","92","65"
"USC00417588","RICHARDSON, TX US","2020-06-14","0.00","91","68"
"USC00417588","RICHARDSON, TX US","2020-06-15","0.00","93","73"
"USC00417588","RICHARDSON, TX US","2020-06-16","0.00","92","74"
"USC00417588","RICHARDSON, TX US","2020-06-17","0.00","93","72"
"USC00417588","RICHARDSON, TX US","2020-06-18","0.00","92","72"
"USC00417588","RICHARDSON, TX US","2020-06-19","0.60","93","66"
"USC00417588","RICHARDSON, TX US","2020-06-20","1.60","88","66"
"USC00417588","RICHARDSON, TX US","2020-06-21","0.20","86","68"
"USC00417588","RICHARDSON, TX US","2020-06-22","0.92","91","66"
"USC00417588","RICHARDSON, TX US","2020-06-23","1.08","81","73"
"USC00417588","RICHARDSON, TX US","2020-06-24","0.00","90","68"
"USC00417588","RICHARDSON, TX US","2020-06-25","0.00","87","72"
"USC00417588","RICHARDSON, TX US","2020-06-26","0.00","89","74"
"USC00417588","RICHARDSON, TX US","2020-06-27","0.00","90","74"
"USC00417588","RICHARDSON, TX US","2020-06-28","0.20","88","77"
"USC00417588","RICHARDSON, TX US","2020-06-29","0.00","91","77"
"USC00417588","RICHARDSON, TX US","2020-06-30","0.00","93","79"
"USC00417588","RICHARDSON, TX US","2020-07-01","0.00","92","78"
"USC00417588","RICHARDSON, TX US","2020-07-02","0.02","93","77"
"USC00417588","RICHARDSON, TX US","2020-07-03","0.00","99","76"
"USC00417588","RICHARDSON, TX US","2020-07-04","0.00","93","74"
"USC00417588","RICHARDSON, TX US","2020-07-05","0.11","93","75"
